created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2025-10-06 21:32:11+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-14 18:00:00+02:00,IC8WWeFr9BGzu9AMuaTOIg,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 2 T,1,MAW,PT1M,2,2023-05-08 08:00:00+02:00
2025-10-06 21:36:43+02:00,0,BE,Planned maintenance,A03,,2023-04-25 18:00:00+02:00,vRTt0Y9qXxBoVdkyHCbCCw,150.0,Fossil Gas,22WDROGEN0000863,Belgium,DROGENBOS TGV,DROGENBOS GT2,1,MAW,PT1M,2,2023-04-25 06:00:00+02:00
2025-10-06 21:38:03+02:00,120,BE,Planned maintenance,A03,,2023-04-26 06:00:00+02:00,Yxn-SWyoCAE-xOVoEwLoRw,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,2,2023-04-26 03:00:00+02:00
2025-10-06 21:38:03+02:00,260,BE,Planned maintenance,A03,,2023-04-26 03:00:00+02:00,yJvQ7_7bE6jQ1jVv8t7k4g,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,3,2023-04-26 01:00:00+02:00
2025-10-06 21:38:05+02:00,260,BE,Planned maintenance,A03,,2023-04-27 03:00:00+02:00,YiDNy1jxLY_6HQJcQU0v3A,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,2,2023-04-26 06:00:00+02:00
2025-10-06 21:38:16+02:00,208,BE,Planned maintenance,A03,,2023-04-25 10:30:00+02:00,-vEzx3ADFHCOfSF80o1Ikg,289.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R GT,1,MAW,PT1M,2,2023-04-25 08:00:00+02:00
2025-10-06 21:38:16+02:00,112,BE,Planned maintenance,A03,,2023-04-25 10:30:00+02:00,hDVDMl-zgHJsX98ju78ScA,162.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R ST,1,MAW,PT1M,2,2023-04-25 08:00:00+02:00
2025-10-06 21:38:38+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-29 00:00:00+02:00,ZaqR6S4tmjiVSyRXf_QYsw,289.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R GT,1,MAW,PT1M,2,2023-05-15 00:00:00+02:00
2025-10-06 21:38:38+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-29 00:00:00+02:00,mmIDYv4oxB66YJhLPziEAQ,162.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R ST,1,MAW,PT1M,2,2023-05-15 00:00:00+02:00
2025-10-06 21:40:30+02:00,0,BE,Planned maintenance,A03,,2023-04-26 17:40:00+02:00,bsWAmsJUGlwSGwgNf1SyUg,167.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG ST,1,MAW,PT1M,2,2023-04-26 06:00:00+02:00
2025-10-06 21:40:30+02:00,0,BE,Planned maintenance,A03,,2023-04-26 17:40:00+02:00,DBFgtQaIlcSq6duTPjOD7w,157.0,Fossil Gas,22WHERDER0001288,Belgium,HERDERSBRUG STEG,HERDERSBRUG GT1,1,MAW,PT1M,2,2023-04-26 06:00:00+02:00
2025-10-06 21:41:29+02:00,0,BE,Planned maintenance,A03,,2023-04-27 12:56:00+02:00,g85GErokKNbMe95D9W-ZQQ,230.0,Hydro Pumped Storage,22WCOOXII000070C,Belgium,COO II T,COO 5 T,1,MAW,PT1M,3,2023-04-27 08:00:00+02:00
2025-10-06 21:42:03+02:00,260,BE,Planned maintenance,A03,,2023-04-27 19:07:00+02:00,yulr5dnIuhrTvLas9GnHJA,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,2,2023-04-27 07:31:00+02:00
2025-10-06 21:43:18+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-02 19:00:00+02:00,NJq9L3DjlPfWVHHPC44yUg,369.6,Wind Offshore,22W201902131---T,Belgium,Norther Offshore WP,Norther Offshore WP,1,MAW,PT1M,2,2023-05-02 07:00:00+02:00
2025-10-06 21:47:56+02:00,260,BE,Planned maintenance,A03,Cancelled,2023-05-04 01:30:00+02:00,nR-Vo0MnkeCfrflIj3H4-g,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,2,2023-05-03 03:30:00+02:00
2025-10-06 21:48:43+02:00,258,BE,Planned maintenance,A03,Cancelled,2023-05-04 16:30:00+02:00,lKEof9KrSb8sWSlCfMPpqw,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,3,2023-05-04 08:30:00+02:00
2025-10-06 21:48:53+02:00,0,BE,Planned maintenance,A03,,2023-05-03 17:30:00+02:00,XpZh6QfjB9RXMQbgJ-5CIw,369.6,Wind Offshore,22W201902131---T,Belgium,Norther Offshore WP,Norther Offshore WP,1,MAW,PT1M,3,2023-05-03 07:30:00+02:00
2025-10-06 22:06:00+02:00,0,BE,Planned maintenance,A03,,2023-05-05 12:29:00+02:00,wvDt2WwgH1oim6FqAuY_Uw,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 3 T,1,MAW,PT1M,3,2023-05-03 07:15:00+02:00
2025-10-06 22:06:03+02:00,0,BE,Planned maintenance,A03,,2023-05-05 13:43:00+02:00,R8EfGUynPvG4P3GfkSHjhA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 2 T,1,MAW,PT1M,3,2023-05-03 06:00:00+02:00
2025-10-06 22:09:05+02:00,120,BE,Planned maintenance,A03,Cancelled,2023-05-16 14:00:00+02:00,tPicdjEe34Zp3iD2Uyxgyg,268.0,Biomass,22WRODENH000213L,Belgium,RODENHUIZE 4,RODENHUIZE 4,1,MAW,PT1M,2,2023-05-15 14:00:00+02:00
2025-10-06 22:09:08+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-08 18:01:00+02:00,LimqNzlJGm9bKo2jqP6xUw,386.0,Fossil Gas,22WSAINT-000221B,Belgium,SAINT-GHISLAIN STEG,SAINT-GHISLAIN STEG,1,MAW,PT1M,2,2023-05-08 18:00:00+02:00
2025-10-06 22:09:08+02:00,370,BE,Planned maintenance,A03,Cancelled,2023-05-16 17:00:00+02:00,N7BSfM0nqSlaqXmL86_WDw,386.0,Fossil Gas,22WSAINT-000221B,Belgium,SAINT-GHISLAIN STEG,SAINT-GHISLAIN STEG,1,MAW,PT1M,2,2023-05-16 07:00:00+02:00
2025-10-06 22:10:20+02:00,210,BE,Planned maintenance,A03,,2023-05-09 16:24:00+02:00,bLKUHZmAIJ5VbP14vJ_feg,315.0,Fossil Gas,22WZELZAT0002618,Belgium,Zelzate 2 Knippegroen,Zelzate 2 Knippegroen,1,MAW,PT1M,4,2023-05-09 07:24:00+02:00
2025-10-06 22:12:07+02:00,0,BE,Planned maintenance,A03,,2023-05-31 00:00:00+02:00,qUFo2BMRDsYEY67_oTv-UA,162.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R ST,1,MAW,PT1M,4,2023-05-12 15:45:00+02:00
2025-10-06 22:12:07+02:00,0,BE,Planned maintenance,A03,,2023-05-31 00:00:00+02:00,Bbc4G58NQSDAovtkER2NEA,289.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R GT,1,MAW,PT1M,4,2023-05-12 15:45:00+02:00
2025-10-06 22:12:07+02:00,49,BE,Planned maintenance,A03,,2023-05-12 15:45:00+02:00,4NllgBA3Oa00xoZC85udiQ,162.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R ST,1,MAW,PT1M,5,2023-05-12 11:00:00+02:00
2025-10-06 22:12:07+02:00,91,BE,Planned maintenance,A03,,2023-05-12 15:45:00+02:00,w-oUoAq6eXVLxYhXLopmPQ,289.0,Fossil Gas,22WAMERCO000010Y,Belgium,Amercoeur 1 R TGV,Amercoeur 1 R GT,1,MAW,PT1M,5,2023-05-12 11:00:00+02:00
2025-10-06 22:14:07+02:00,0,BE,Planned maintenance,A03,,2023-05-17 14:48:00+02:00,tFPI9yjQ1bAkLIS_lhxsRA,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 2 T,1,MAW,PT1M,2,2023-05-08 08:00:00+02:00
2025-10-06 22:14:36+02:00,0,BE,Planned maintenance,A03,,2023-05-18 16:45:00+02:00,kRDoa0mlbcncnZmUhmERJg,171.0,Wind Offshore,22WBELWIN0000271,Belgium,Belwind Phase 1,Belwind Phase 1,1,MAW,PT1M,2,2023-05-18 08:00:00+02:00
2025-10-06 22:14:42+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-23 17:00:00+02:00,k1VAp9jtDhKvDN2leE8CmA,216.0,Wind Offshore,22WNORTHW000187B,Belgium,Northwind,Northwind,1,MAW,PT1M,2,2023-05-23 08:00:00+02:00
2025-10-06 22:14:42+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-22 17:00:00+02:00,SyRMAoNxuzW9MUO9lyUR6Q,216.0,Wind Offshore,22WNORTHW000187B,Belgium,Northwind,Northwind,1,MAW,PT1M,3,2023-05-22 08:00:00+02:00
2025-10-06 22:34:34+02:00,0,BE,Planned maintenance,A03,,2023-05-29 06:00:00+02:00,PfRNYe8FMovVhnKQjnS84w,1039.0,Nuclear,22WDOELX40000793,Belgium,DOEL 4,DOEL 4,1,MAW,PT1M,2,2023-04-22 00:00:00+02:00
2025-10-06 22:46:11+02:00,450,BE,Planned maintenance,A03,,2023-06-09 19:15:00+02:00,lqI95wS58zNlnuSSCzbYTg,445.0,Nuclear,22WDOELX1000076X,Belgium,DOEL 1,DOEL 1,1,MAW,PT1M,4,2023-04-27 00:00:00+02:00
2025-10-07 03:04:11+02:00,0,BE,Planned maintenance,A03,,2023-09-26 08:15:00+02:00,PhmlUUkX4avPZczBJTea8g,264.0,Fossil Gas,22W20181005PU--J,Belgium,VILVOORDE TGV,VILVOORDE GT,1,MAW,PT1M,6,2023-03-30 22:00:00+02:00
2025-10-07 05:22:54+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-12-23 00:00:00+01:00,_3xcYw4Ihacg5m8PBtEeuQ,158.0,Hydro Pumped Storage,22WCOOXIX000067T,Belgium,COO I T,COO 1 T,1,MAW,PT1M,5,2023-05-02 06:00:00+02:00
2025-10-07 06:11:53+02:00,258,BE,Planned maintenance,A03,Cancelled,2023-05-01 16:30:00+02:00,rS4DOToogjZh6bBH1sSoAw,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-05-01 08:30:00+02:00
2025-10-07 06:11:53+02:00,258,BE,Planned maintenance,A03,Cancelled,2023-04-30 18:00:00+02:00,QXomfTJalVLRzS-rpYh0EA,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-04-30 08:00:00+02:00
2025-10-07 06:11:53+02:00,272,BE,Planned maintenance,A03,Cancelled,2023-04-27 17:00:00+02:00,Z6QJmhXE3Iqary1Fr5vqTw,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-04-27 09:00:00+02:00
2025-10-07 06:11:54+02:00,257,BE,Planned maintenance,A03,Cancelled,2023-05-08 17:00:00+02:00,p5KH__53fO8eqKaUocj7Pw,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-05-08 08:00:00+02:00
2025-10-07 06:11:54+02:00,272,BE,Planned maintenance,A03,Cancelled,2023-05-07 16:30:00+02:00,T81kL7E3K1-VODgSFtq8aA,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-05-07 08:30:00+02:00
2025-10-07 06:11:54+02:00,0,BE,Planned maintenance,A03,Cancelled,2023-05-11 20:00:00+02:00,amrHYKG3Ysc2peDRpbSJQw,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,5,2023-05-11 06:30:00+02:00
2025-10-07 06:11:54+02:00,265,BE,Planned maintenance,A03,Cancelled,2023-05-12 18:00:00+02:00,69kOQ2M74XXlbL-QpIY64w,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-05-12 07:00:00+02:00
2025-10-07 06:11:54+02:00,258,BE,Planned maintenance,A03,Cancelled,2023-05-06 16:30:00+02:00,B8K6H8TqcbcSrMwDUH_ugA,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,3,2023-05-06 08:30:00+02:00
2025-10-07 06:11:54+02:00,258,BE,Planned maintenance,A03,Cancelled,2023-05-05 16:30:00+02:00,r1h6cBsmaj4-skWJSut5qg,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,2,2023-05-05 08:30:00+02:00
2025-10-07 06:11:54+02:00,250,BE,Planned maintenance,A03,Cancelled,2023-05-03 16:30:00+02:00,vCIiWazND1DBX6OW5Zre4Q,307.0,Wind Offshore,22W20180628----H,Belgium,Rentel Offshore WP,Rentel Offshore WP,1,MAW,PT1M,3,2023-05-03 08:30:00+02:00
